Tenant,Group,Same,Chosen,Score
,,,,
Azienda Tessile,202.0,1.0,1.0,100.0
Tessi,202.0,0.0,0.0,100.0
,,,,
B&M,203.0,1.0,1.0,100.0
KB MEDICA,203.0,0.0,0.0,100.0
M Plåt Västerås AB,203.0,0.0,0.0,100.0
M.Roos Måleri AB,203.0,0.0,0.0,100.0
MM Sport Club Oy,203.0,0.0,0.0,100.0
Majestic Products B.V.,203.0,0.0,0.0,100.0
Matchtown Studios AB,203.0,0.0,0.0,100.0
Mediahelp Sverige AB,203.0,0.0,0.0,100.0
Member 24 AB,203.0,0.0,0.0,100.0
Multitrading B.V.,203.0,0.0,0.0,100.0
OXE Marine AB,203.0,0.0,0.0,100.0
Phoenix Mecano AB,203.0,0.0,0.0,100.0
Solö Mechanical Solutions AB,203.0,0.0,0.0,100.0
Sportlife MW AB (Nordic Wellness),203.0,0.0,0.0,100.0
Uppsala Clean Master Service HB,203.0,0.0,0.0,100.0
Uppsala Maskin & Verktyg AB,203.0,0.0,0.0,100.0
,,,,
B&Q,204.0,1.0,1.0,100.0
Qloss AB,204.0,0.0,0.0,100.0
,,,,
B.A.W Coatings Ltd,205.0,1.0,1.0,100.0
GS,205.0,0.0,0.0,100.0
,,,,
B.E.S Limited,206.0,1.0,1.0,100.0
C Brewers & Sons Limited,206.0,0.0,0.0,84.62
Clarke's Solution Limited,206.0,0.0,0.0,84.62
Eddie Stobard Limited,206.0,0.0,0.0,84.62
Flowstore Systems Limited,206.0,0.0,0.0,84.62
Fuel Shakes Limited.,206.0,0.0,0.0,84.62
GE Energy Power Conversion UK Limited,206.0,0.0,0.0,84.62
Great Wyrley Garden Supplies Limited,206.0,0.0,0.0,84.62
Hire Station Limited,206.0,0.0,0.0,84.62
Homechoice Carpets (St Helens) Limited,206.0,0.0,0.0,88.0
"Mercedes-Benz
Parts Logistics Uk
Limited",206.0,0.0,0.0,84.62
SAF Limited,206.0,0.0,0.0,90.0
SM Houseware Limited,206.0,0.0,0.0,88.0
Samworth Brothers Limited.,206.0,0.0,0.0,84.62
Screwfix Direct Limited,206.0,0.0,0.0,84.62
Sensory Direct (UK) Limited,206.0,0.0,0.0,84.62
Sobell House Hospice Charity Limited,206.0,0.0,0.0,84.62
Spal Automotive (UK) Limited.,206.0,0.0,0.0,84.62
Speedy Asset Services Limited,206.0,0.0,0.0,84.62
Stainless Balustrade Solutions Limited,206.0,0.0,0.0,84.62
Studiospares Europe Limited,206.0,0.0,0.0,84.62
Techo UK Limited (guaranteed by Techo A.S.),206.0,0.0,0.0,84.62
W E Stevens Haulage Contractors Limited,206.0,0.0,0.0,84.62
,,,,
B2C Transport,207.0,1.0,1.0,100.0
BMD Transportservice,207.0,0.0,0.0,84.62
CM-Trans,207.0,0.0,0.0,87.5
Clarkes Cabin Transport Limited.,207.0,0.0,0.0,86.96
Compagnie de Transports Financiere et Immobiliere Contrafi S.A.,207.0,0.0,0.0,83.33
De Boer Transports France,207.0,0.0,0.0,84.62
Entrepots et Transports Barbe,207.0,0.0,0.0,83.33
"Frigodia - Transportes e Logística, Lda.",207.0,0.0,0.0,84.62
GAMBLIN (TRANSPORT),207.0,0.0,0.0,86.96
GK TRANSPORT,207.0,0.0,0.0,90.91
Goods Transport Scandinavia AB,207.0,0.0,0.0,86.96
Guillaume Naurais Transports,207.0,0.0,0.0,83.33
Gvt Transport & Logistics,207.0,0.0,0.0,88.0
HT Transport & Spedition A/S,207.0,0.0,0.0,86.96
Haardwork Transport AB,207.0,0.0,0.0,86.96
Hakarps Schakt & Transport AB,207.0,0.0,0.0,86.96
ID Transport,207.0,0.0,0.0,90.91
Inter Express Transport,207.0,0.0,0.0,86.96
MPW TRANSPORTS,207.0,0.0,0.0,83.33
MQ Transport Limited,207.0,0.0,0.0,86.96
Mayer Transport,207.0,0.0,0.0,86.96
Meyer & Meyer Transport Services GmbH,207.0,0.0,0.0,86.96
P.L. Transport Limited.,207.0,0.0,0.0,86.96
Special Transport Holdings,207.0,0.0,0.0,86.96
TRANSPORT MALHERBE,207.0,0.0,0.0,88.0
TRANSPORT PORTMANN,207.0,0.0,0.0,86.96
TRANSPORTS ALAINE,207.0,0.0,0.0,83.33
TRANSPORTS BREVET,207.0,0.0,0.0,83.33
TRANSPORTS CBC EXPRESS,207.0,0.0,0.0,83.33
TRANSPORTS CORDIER,207.0,0.0,0.0,83.33
TRANSPORTS GELIN,207.0,0.0,0.0,83.33
TRANSPORTS LAHAYE,207.0,0.0,0.0,83.33
TRANSPORTS PEDRETTI,207.0,0.0,0.0,83.33
TRANSPORTS SF,207.0,0.0,0.0,86.96
TRANSPORTS TDR,207.0,0.0,0.0,83.33
TRANSPORTS TOUSSAINT,207.0,0.0,0.0,83.33
Transport Bernard,207.0,0.0,0.0,86.96
Transport Charvin,207.0,0.0,0.0,86.96
Transports GONDRAND Freres,207.0,0.0,0.0,83.33
Transports Groussard,207.0,0.0,0.0,83.33
Transports Malherbe,207.0,0.0,0.0,84.62
Transports Pages,207.0,0.0,0.0,83.33
Transports Portmann,207.0,0.0,0.0,83.33
,,,,
BANSARD INTERNATIONAL,208.0,1.0,1.0,100.0
But International,208.0,0.0,0.0,90.32
C2B INTERNATIONAL,208.0,0.0,0.0,90.32
Dexam International,208.0,0.0,0.0,88.24
Expeditors International,208.0,0.0,0.0,83.33
Jardin,208.0,0.0,0.0,83.33
Nijman International B.V.,208.0,0.0,0.0,83.33
Tenmat,208.0,0.0,0.0,83.33
Vos Logistics International B.V.,208.0,0.0,0.0,83.33
,,,,
BASCIANO Sarl,209.0,1.0,1.0,100.0
BASH,209.0,0.0,0.0,85.71
Basf,209.0,0.0,0.0,85.71
,,,,
BASH,210.0,1.0,1.0,100.0
BASIC FIT II,210.0,0.0,0.0,85.71
BSH Hausgeräte GmbH,210.0,0.0,0.0,85.71
Basf,210.0,0.0,0.0,85.71
DISTRICASH,210.0,0.0,0.0,85.71
Deutsche Bahn,210.0,0.0,0.0,85.71
Eurocash,210.0,0.0,0.0,85.71
Unknown tenants Ashroyd,210.0,0.0,0.0,85.71
,,,,
BASIC FIT II,211.0,1.0,1.0,100.0
Basf,211.0,0.0,0.0,85.71
,,,,
BCS Bilservice AB,212.0,1.0,1.0,100.0
Danmarksgatans Bilservice AB,212.0,0.0,0.0,86.67
ITCE,212.0,0.0,0.0,85.71
KA Bilservice Uppsala AB,212.0,0.0,0.0,86.67
,,,,
BCUBE,213.0,1.0,1.0,100.0
BCUBE S.p.a.,213.0,0.0,0.0,100.0
Bcube,213.0,0.0,0.0,100.0
Cube International Ltd,213.0,0.0,0.0,88.89
MCUBE,213.0,0.0,0.0,88.89
,,,,
BCUBE S.p.a.,214.0,1.0,1.0,100.0
Bcube,214.0,0.0,0.0,100.0
,,,,
BF Container Logistics SRL,215.0,1.0,1.0,100.0
CN Logistics,215.0,0.0,0.0,83.33
FM LOGISTICS,215.0,0.0,0.0,83.33
GIST,215.0,0.0,0.0,100.0
Geologistics,215.0,0.0,0.0,83.33
Gist,215.0,0.0,0.0,100.0
ID LOGISTICS,215.0,0.0,0.0,83.33
ID Logistics,215.0,0.0,0.0,83.33
Id Logistics,215.0,0.0,0.0,83.33
JS LOGISTICS,215.0,0.0,0.0,83.33
L4 Logistics,215.0,0.0,0.0,83.33
LOGISTA,215.0,0.0,0.0,85.71
LOGISTICA,215.0,0.0,0.0,88.89
Logista,215.0,0.0,0.0,85.71
MAS Logistics,215.0,0.0,0.0,84.62
MONTANE,215.0,0.0,0.0,85.71
MTS Logistics,215.0,0.0,0.0,84.62
Mas Logistic,215.0,0.0,0.0,83.33
PR Logistics,215.0,0.0,0.0,91.67
RS Logistica,215.0,0.0,0.0,83.33
Reslogistics,215.0,0.0,0.0,83.33
SDA Logistics,215.0,0.0,0.0,84.62
SPI LOGISTIC,215.0,0.0,0.0,83.33
STI,215.0,0.0,0.0,100.0
STI Logistics,215.0,0.0,0.0,84.62
Skill logistics,215.0,0.0,0.0,85.71
,,,,
BFS Group Ltd,216.0,1.0,1.0,100.0
Bgroup,216.0,0.0,0.0,83.33
The BSS Group Ltd,216.0,0.0,0.0,92.31
,,,,
BGI Distribution,217.0,1.0,1.0,100.0
BUT,217.0,0.0,0.0,100.0
Burton,217.0,0.0,0.0,83.33
Eovolt (Lion Distribution),217.0,0.0,0.0,85.71
Expect Distribution Limited,217.0,0.0,0.0,85.71
Inox Service Distribution,217.0,0.0,0.0,85.71
JMT DISTRIBUTION,217.0,0.0,0.0,85.71
Law Distribution Limited,217.0,0.0,0.0,85.71
Law Distribution Ltd,217.0,0.0,0.0,85.71
Optical Distribution Gnd,217.0,0.0,0.0,85.71
SAM DISTRIBUTION,217.0,0.0,0.0,85.71
Western Power Distribution (W Mids) Plc,217.0,0.0,0.0,85.71
XPO Distribution France SAS,217.0,0.0,0.0,85.71
,,,,
BIOCOOP,218.0,1.0,1.0,100.0
Biocoop,218.0,0.0,0.0,100.0
Co-Op,218.0,0.0,0.0,88.89
,,,,
BLONDEL,219.0,1.0,1.0,100.0
BLONDEL LOGISTIQUE,219.0,0.0,0.0,100.0
,,,,
BLONDEL LOGISTIQUE,220.0,1.0,1.0,100.0
DERET LOGISTIQUE,220.0,0.0,0.0,86.67
GIST,220.0,0.0,0.0,100.0
Gist,220.0,0.0,0.0,100.0
ICP LOGISTIQUE,220.0,0.0,0.0,88.0
LOGISTA,220.0,0.0,0.0,85.71
Le Roy Logistique SAS,220.0,0.0,0.0,83.87
Logista,220.0,0.0,0.0,85.71
RT LOGISTIQUE,220.0,0.0,0.0,86.96
SED LOGISTIQUE,220.0,0.0,0.0,83.33
STI,220.0,0.0,0.0,100.0
,,,,
BLUEDISTRIB (BOLLORE),221.0,1.0,1.0,100.0
BOLLORE,221.0,0.0,0.0,100.0
OTRE,221.0,0.0,0.0,85.71
,,,,
BMD Transportservice,222.0,1.0,1.0,100.0
CM-Trans,222.0,0.0,0.0,87.5
GK TRANSPORT,222.0,0.0,0.0,83.33
ID Transport,222.0,0.0,0.0,91.67
ITCE,222.0,0.0,0.0,85.71
MD,222.0,0.0,0.0,100.0
MPW TRANSPORTS,222.0,0.0,0.0,85.71
TRANSPORTS SF,222.0,0.0,0.0,84.62
TRANSPORTS TDR,222.0,0.0,0.0,85.71
Vir Transports,222.0,0.0,0.0,85.71
,,,,
BMR Office Ltd,223.0,1.0,1.0,100.0
ITCE,223.0,0.0,0.0,85.71
,,,,
BMV,224.0,1.0,1.0,100.0
BMVIROLLE,224.0,0.0,0.0,100.0
,,,,
BOGAERT SOLUTION LOGISTIQUE,225.0,1.0,1.0,100.0
DERET LOGISTIQUE,225.0,0.0,0.0,87.5
GARNIER LOGISTIQUE,225.0,0.0,0.0,83.33
GIST,225.0,0.0,0.0,100.0
Gist,225.0,0.0,0.0,100.0
LOGISTA,225.0,0.0,0.0,85.71
Logista,225.0,0.0,0.0,85.71
RT LOGISTIQUE,225.0,0.0,0.0,84.62
SED LOGISTIQUE,225.0,0.0,0.0,85.71
SOLUTION 30,225.0,0.0,0.0,90.0
STI,225.0,0.0,0.0,100.0
,,,,
BOLLORE,226.0,1.0,1.0,100.0
BOLLORE LOGISTICS,226.0,0.0,0.0,100.0
Bollore Logistics,226.0,0.0,0.0,100.0
OTRE,226.0,0.0,0.0,85.71
,,,,
BOLLORE LOGISTICS,227.0,1.0,1.0,100.0
Bollore Logistics,227.0,0.0,0.0,100.0
CEVA Logistics,227.0,0.0,0.0,88.0
CN Logistics,227.0,0.0,0.0,90.91
Ceva Logistics,227.0,0.0,0.0,88.0
FM LOGISTIC,227.0,0.0,0.0,85.71
FM LOGISTICS,227.0,0.0,0.0,90.91
FM Logistic,227.0,0.0,0.0,85.71
GIST,227.0,0.0,0.0,100.0
Geologistics,227.0,0.0,0.0,86.96
Gist,227.0,0.0,0.0,100.0
Gruber Logistics,227.0,0.0,0.0,85.71
ID LOGISTICS,227.0,0.0,0.0,90.91
ID Logistics,227.0,0.0,0.0,90.91
ITC Logistics,227.0,0.0,0.0,86.96
Id Logistics,227.0,0.0,0.0,90.91
JS LOGISTICS,227.0,0.0,0.0,90.91
L4 Logistics,227.0,0.0,0.0,90.91
LOGISTA,227.0,0.0,0.0,85.71
LOGISTICA,227.0,0.0,0.0,88.89
Logista,227.0,0.0,0.0,85.71
Mas Logistic,227.0,0.0,0.0,85.71
PR Logistics,227.0,0.0,0.0,85.71
RS Logistica,227.0,0.0,0.0,85.71
Realogistic,227.0,0.0,0.0,90.91
Reslogistics,227.0,0.0,0.0,91.67
SPI LOGISTIC,227.0,0.0,0.0,85.71
STI,227.0,0.0,0.0,100.0
,,,,
BOMI,228.0,1.0,1.0,100.0
BOMI France,228.0,0.0,0.0,100.0
Bomi,228.0,0.0,0.0,100.0
Bomi Health Carrier,228.0,0.0,0.0,100.0
Bomi Italia,228.0,0.0,0.0,100.0
France Boissons,228.0,0.0,0.0,85.71
Hilti (Suomi) Oy,228.0,0.0,0.0,85.71
Logifarma (Bomi),228.0,0.0,0.0,100.0
,,,,
BOMI France,229.0,1.0,1.0,100.0
Bomi,229.0,0.0,0.0,100.0
NC,229.0,0.0,0.0,100.0
,,,,
BORDEAUX METROPOLE,230.0,1.0,1.0,100.0
Metro,230.0,0.0,0.0,100.0
,,,,
BORGWARNER POLAND,231.0,1.0,1.0,100.0
Land,231.0,0.0,0.0,100.0
,,,,
BOVINOS,232.0,1.0,1.0,100.0
Naos,232.0,0.0,0.0,85.71
,,,,
BPS,233.0,1.0,1.0,100.0
BPS S.r.l.,233.0,0.0,0.0,100.0
,,,,
BPS S.r.l.,234.0,1.0,1.0,100.0
Chrono Express S.r.l.,234.0,0.0,0.0,87.5
,,,,
BPX Electromechanical Company Limited,235.0,1.0,1.0,100.0
Fisc Limited,235.0,0.0,0.0,83.33
HHGL Limited,235.0,0.0,0.0,85.71
TEDI,235.0,0.0,0.0,85.71
,,,,
BRANDIS,236.0,1.0,1.0,100.0
Brandon Hire,236.0,0.0,0.0,83.33
Brandon Hire Limited,236.0,0.0,0.0,83.33
Dendron Brands Limited (Guaranteed by Phoenix Labs Unlimited Company),236.0,0.0,0.0,92.31
"Eaglebrands Trade Marketing, Unipessoal, Lda",236.0,0.0,0.0,85.71
Hillebrand,236.0,0.0,0.0,83.33
Strands Revisor i Helsingborg,236.0,0.0,0.0,83.33
,,,,
BRETAGNE SERVICES LOGISTIQUES (BLS),237.0,1.0,1.0,100.0
Bretagne Services Logistiques SAS,237.0,0.0,0.0,93.55
C&G Services,237.0,0.0,0.0,85.71
DHL Service Logistiques SAS,237.0,0.0,0.0,83.33
Elis Service,237.0,0.0,0.0,86.96
GIST,237.0,0.0,0.0,100.0
Gist,237.0,0.0,0.0,100.0
LOGISTA,237.0,0.0,0.0,85.71
Logista,237.0,0.0,0.0,85.71
RT LOGISTIQUE,237.0,0.0,0.0,84.62
SD SERVICES,237.0,0.0,0.0,95.24
SED LOGISTIQUE,237.0,0.0,0.0,92.86
STI,237.0,0.0,0.0,100.0
,,,,
BRICO PRIVE,238.0,1.0,1.0,100.0
COLIS PRIVE,238.0,0.0,0.0,84.21
Colis Prive,238.0,0.0,0.0,84.21
Sive,238.0,0.0,0.0,85.71
,,,,
BUNZL,239.0,1.0,1.0,100.0
Bunzl Retail & Healthcare Supplies Limited,239.0,0.0,0.0,100.0
,,,,
BUT,240.0,1.0,1.0,100.0
But International,240.0,0.0,0.0,100.0
Butcher Pet Care Limited,240.0,0.0,0.0,100.0
Butina / Marel,240.0,0.0,0.0,100.0
CRH ILE DE FRANCE DISTRIBUTION  RABONI BUSCA,240.0,0.0,0.0,100.0
DISTRIBUTEUR DES BRASSEURS,240.0,0.0,0.0,100.0
Eovolt (Lion Distribution),240.0,0.0,0.0,100.0
Expect Distribution Limited,240.0,0.0,0.0,100.0
Färgglädje Måleributiken i Uppsala AB,240.0,0.0,0.0,100.0
Great Bear Distribution Limited,240.0,0.0,0.0,100.0
Inox Service Distribution,240.0,0.0,0.0,100.0
JMT DISTRIBUTION,240.0,0.0,0.0,100.0
Law Distribution Limited,240.0,0.0,0.0,100.0
Law Distribution Ltd,240.0,0.0,0.0,100.0
Optical Distribution Gnd,240.0,0.0,0.0,100.0
SAM DISTRIBUTION,240.0,0.0,0.0,100.0
STS Flooring Distributors Limited,240.0,0.0,0.0,100.0
Western Power Distribution (W Mids) Plc,240.0,0.0,0.0,100.0
XPO Distribution France SAS,240.0,0.0,0.0,100.0
,,,,
BaBa's Bilvård i Uppland AB,241.0,1.0,1.0,100.0
Land,241.0,0.0,0.0,100.0
,,,,
Bakker Logistiek,242.0,1.0,1.0,100.0
GIST,242.0,0.0,0.0,100.0
Gist,242.0,0.0,0.0,100.0
LOGISTA,242.0,0.0,0.0,85.71
Logista,242.0,0.0,0.0,85.71
Logistika,242.0,0.0,0.0,88.89
STI,242.0,0.0,0.0,100.0
,,,,
Banzai - EPrice,243.0,1.0,1.0,100.0
ITCE,243.0,0.0,0.0,85.71
,,,,
Baxter,244.0,1.0,1.0,100.0
Elliot Baxter & Company Limited,244.0,0.0,0.0,100.0
Elliott Baxter & Company Ltd,244.0,0.0,0.0,100.0
,,,,
Bcube,245.0,1.0,1.0,100.0
Cube International Ltd,245.0,0.0,0.0,88.89
MCUBE,245.0,0.0,0.0,88.89
,,,,
BeCool Åkeri AB,246.0,1.0,1.0,100.0
Evri,246.0,0.0,0.0,85.71
Nibe AB,246.0,0.0,0.0,83.33
,,,,
Beans In Cup AB,247.0,1.0,1.0,100.0
Nibe AB,247.0,0.0,0.0,83.33
,,,,
Beaver Architectural Ironmongery Ltd,248.0,1.0,1.0,100.0
CHIPTEC,248.0,0.0,0.0,85.71
,,,,
Beck & Pollitzer Engineering Limited,249.0,1.0,1.0,100.0
Kering,249.0,0.0,0.0,83.33
Niro Engineering Limited,249.0,0.0,0.0,87.5
,,,,
Beentjes Vastgoed,250.0,1.0,1.0,100.0
STG,250.0,0.0,0.0,100.0
,,,,
Belfor UK Limited,251.0,1.0,1.0,100.0
Belron UK Limited,251.0,0.0,0.0,88.24
,,,,
Bell Plumbing Supplies Ltd,252.0,1.0,1.0,100.0
City Plumbing Supplies Holdings Ltd,252.0,0.0,0.0,91.67
UK Plumbing Supplies Ltd,252.0,0.0,0.0,93.33
,,,,
Benchmarx Kitchens & Joinery Ltd (guaranteed by Travis Perkins (Properties) Limited),253.0,1.0,1.0,100.0
Benchmarx Kitchens and Joinery Ltd (Guaranteed by Travis Perkins (Properties) Limited),253.0,0.0,0.0,100.0
Chimar,253.0,0.0,0.0,83.33
HPAS Limited.,253.0,0.0,0.0,83.33
L @ D,253.0,0.0,0.0,100.0
NC,253.0,0.0,0.0,100.0
Pe.tra,253.0,0.0,0.0,83.33
Travis Perkins (Properties) Limited,253.0,0.0,0.0,93.55
,,,,
Benchmarx Kitchens and Joinery Ltd,254.0,1.0,1.0,100.0
Chimar,254.0,0.0,0.0,83.33
Hour Kitchen Ltd,254.0,0.0,0.0,83.87
Land,254.0,0.0,0.0,85.71
NC,254.0,0.0,0.0,100.0
,,,,
Benchmarx Kitchens and Joinery Ltd (Guaranteed by Travis Perkins (Properties) Limited),255.0,1.0,1.0,100.0
Chimar,255.0,0.0,0.0,83.33
HPAS Limited.,255.0,0.0,0.0,83.33
L @ D,255.0,0.0,0.0,100.0
Land,255.0,0.0,0.0,85.71
NC,255.0,0.0,0.0,100.0
Pe.tra,255.0,0.0,0.0,83.33
Travis Perkins (Properties) Limited,255.0,0.0,0.0,93.55
,,,,
Benchwarmers Brewing Co AB,256.0,1.0,1.0,100.0
NC,256.0,0.0,0.0,100.0
Nibe AB,256.0,0.0,0.0,83.33
,,,,
Bennato Trasporti,257.0,1.0,1.0,100.0
Geos Trasporti,257.0,0.0,0.0,88.0
Matra Trasporti,257.0,0.0,0.0,85.71
Susa Trasporti,257.0,0.0,0.0,83.33
Trasgo,257.0,0.0,0.0,83.33
,,,,
Bert Group,258.0,1.0,1.0,100.0
Bgroup,258.0,0.0,0.0,90.91
Burgers Group,258.0,0.0,0.0,84.21
Carlton Forest Group,258.0,0.0,0.0,84.21
DB Group,258.0,0.0,0.0,85.71
Dachser Group,258.0,0.0,0.0,88.89
,,,,
Besikta Bilprovning i Sverige AB,259.0,1.0,1.0,100.0
Nibe AB,259.0,0.0,0.0,83.33
,,,,
Best Foods,260.0,1.0,1.0,100.0
ODS,260.0,0.0,0.0,100.0
,,,,
Betonmast Mälardalen AB,261.0,1.0,1.0,100.0
Nibe AB,261.0,0.0,0.0,83.33
,,,,
Bgroup,262.0,1.0,1.0,100.0
Burgers Group,262.0,0.0,0.0,90.91
CO-Operative Group Ltd,262.0,0.0,0.0,83.33
Carlton Forest Group,262.0,0.0,0.0,90.91
Chris Hankinson T/A SLG Group,262.0,0.0,0.0,83.33
Chris Hankinson t/a SLG Group,262.0,0.0,0.0,83.33
Commaxx Group,262.0,0.0,0.0,90.91
Cromwell Group Holdings Limited,262.0,0.0,0.0,83.33
DB Group,262.0,0.0,0.0,90.91
DCS Group,262.0,0.0,0.0,90.91
DPD Group,262.0,0.0,0.0,90.91
DPD Group UK Ltd,262.0,0.0,0.0,83.33
Dachser Group,262.0,0.0,0.0,90.91
Delma Group,262.0,0.0,0.0,90.91
ECGF Group,262.0,0.0,0.0,90.91
ES Broadcast Limited  (Guaranteed by ES Media Group Limited),262.0,0.0,0.0,83.33
Eurofit group Enlog S.A,262.0,0.0,0.0,83.33
FM Mattsson Mora Group AB,262.0,0.0,0.0,83.33
Fluidpower Group Services UK Limited,262.0,0.0,0.0,83.33
Freshline Service Group AB,262.0,0.0,0.0,83.33
G & O Group AB,262.0,0.0,0.0,83.33
GROUPE A.I.E.,262.0,0.0,0.0,83.33
GROUPE HUBERT,262.0,0.0,0.0,90.91
GROUPE KIEFFER,262.0,0.0,0.0,90.91
GROUPE L.S.E.,262.0,0.0,0.0,83.33
GROUPE PIERRE LE GOFF GRAND NORD,262.0,0.0,0.0,83.33
GROUPE SMCP,262.0,0.0,0.0,90.91
"Gilder Group Limited /
Decidebloom",262.0,0.0,0.0,83.33
Groupe LCM La Compagnie Médicale,262.0,0.0,0.0,83.33
Groupe Pierre Le Goff,262.0,0.0,0.0,83.33
Groupe Rocher Operations,262.0,0.0,0.0,90.91
HATS Group Ltd,262.0,0.0,0.0,90.91
HSS Hire Services Group Plc,262.0,0.0,0.0,90.91
Hayley Group Limited,262.0,0.0,0.0,90.91
Health and Sports Nutrition Group HSNG AB,262.0,0.0,0.0,83.33
ION Facilities Management Group Ltd,262.0,0.0,0.0,83.33
LogLab (Ceccarelli Group),262.0,0.0,0.0,83.33
Lookers Motor Group Ltd,262.0,0.0,0.0,90.91
Lulu Group,262.0,0.0,0.0,90.91
Marshall Motor Group Ltd,262.0,0.0,0.0,90.91
NS GROUP,262.0,0.0,0.0,90.91
Nightline Logistics Group,262.0,0.0,0.0,90.91
Nival Group S.r.l.,262.0,0.0,0.0,90.91
Pikolin Group,262.0,0.0,0.0,90.91
Pomona Group,262.0,0.0,0.0,90.91
RENAULT RETAIL GROUP,262.0,0.0,0.0,90.91
Rewe Group Buying,262.0,0.0,0.0,83.33
Royal Mail Group Limited,262.0,0.0,0.0,90.91
SCC GROUP,262.0,0.0,0.0,90.91
Sanctuary Group Association,262.0,0.0,0.0,83.33
Silentnight Group Limited,262.0,0.0,0.0,90.91
Sligro Food Group,262.0,0.0,0.0,83.33
Solar Clarity Group,262.0,0.0,0.0,83.33
Steer Automotive Group Limited,262.0,0.0,0.0,83.33
Supergroup,262.0,0.0,0.0,90.91
Svenska Mälardalen Group AB,262.0,0.0,0.0,83.33
Synsam Group Sweden AB,262.0,0.0,0.0,83.33
The BSS Group Ltd,262.0,0.0,0.0,83.33
The Danwood Group Ltd,262.0,0.0,0.0,83.33
Traconf Fashion Logistics Group,262.0,0.0,0.0,83.33
UK Mail Group Limited,262.0,0.0,0.0,90.91
Uvesco Group / UNIALCO S.L.,262.0,0.0,0.0,90.91
Valsped Group,262.0,0.0,0.0,90.91
Volkswagen Group Uk Ltd,262.0,0.0,0.0,90.91
WM GROUP,262.0,0.0,0.0,90.91
Yorkshire Electricity Group,262.0,0.0,0.0,83.33
,,,,
"Biggest Courier Vallès, S.L.",263.0,1.0,1.0,100.0
COURIR,263.0,0.0,0.0,83.33
,,,,
Bilcentralen i Göteborg AB,264.0,1.0,1.0,100.0
H CENTRALE,264.0,0.0,0.0,90.0
J Bil AB,264.0,0.0,0.0,85.71
,,,,
Bildax i Uppsala AB,265.0,1.0,1.0,100.0
J Bil AB,265.0,0.0,0.0,85.71
,,,,
Bilhuset Syd AB,266.0,1.0,1.0,100.0
J Bil AB,266.0,0.0,0.0,85.71
,,,,
Bilparadiset i Bromsten AB,267.0,1.0,1.0,100.0
J Bil AB,267.0,0.0,0.0,85.71
,,,,
Biocoop,268.0,1.0,1.0,100.0
Co-Op,268.0,0.0,0.0,88.89
,,,,
Birmingham City Council,269.0,1.0,1.0,100.0
NC,269.0,0.0,0.0,100.0
,,,,
Bleach Products Limited (sublet to Thrifted Limited),270.0,1.0,1.0,100.0
CTS,270.0,0.0,0.0,100.0
L @ D,270.0,0.0,0.0,100.0
,,,,
Bolands Restaurang Hassey HB,271.0,1.0,1.0,100.0
Land,271.0,0.0,0.0,100.0
,,,,
Bollore Logistics,272.0,1.0,1.0,100.0
CEVA Logistics,272.0,0.0,0.0,88.0
CN Logistics,272.0,0.0,0.0,90.91
Ceva Logistics,272.0,0.0,0.0,88.0
FM LOGISTIC,272.0,0.0,0.0,85.71
FM LOGISTICS,272.0,0.0,0.0,90.91
FM Logistic,272.0,0.0,0.0,85.71
GIST,272.0,0.0,0.0,100.0
Geologistics,272.0,0.0,0.0,86.96
Gist,272.0,0.0,0.0,100.0
Gruber Logistics,272.0,0.0,0.0,85.71
ID LOGISTICS,272.0,0.0,0.0,90.91
ID Logistics,272.0,0.0,0.0,90.91
ITC Logistics,272.0,0.0,0.0,86.96
Id Logistics,272.0,0.0,0.0,90.91
JS LOGISTICS,272.0,0.0,0.0,90.91
L4 Logistics,272.0,0.0,0.0,90.91
LOGISTA,272.0,0.0,0.0,85.71
LOGISTICA,272.0,0.0,0.0,88.89
Logista,272.0,0.0,0.0,85.71
Mas Logistic,272.0,0.0,0.0,85.71
PR Logistics,272.0,0.0,0.0,85.71
RS Logistica,272.0,0.0,0.0,85.71
Realogistic,272.0,0.0,0.0,90.91
Reslogistics,272.0,0.0,0.0,91.67
SPI LOGISTIC,272.0,0.0,0.0,85.71
STI,272.0,0.0,0.0,100.0
,,,,
Bolt World Fasteners Ltd.,273.0,1.0,1.0,100.0
Senzer,273.0,0.0,0.0,83.33
,,,,
Bomi,274.0,1.0,1.0,100.0
Bomi Health Carrier,274.0,0.0,0.0,100.0
Bomi Italia,274.0,0.0,0.0,100.0
France Boissons,274.0,0.0,0.0,85.71
Hilti (Suomi) Oy,274.0,0.0,0.0,85.71
Logifarma (Bomi),274.0,0.0,0.0,100.0
,,,,
Bomi Italia,275.0,1.0,1.0,100.0
DC Italia,275.0,0.0,0.0,87.5
FM Italia,275.0,0.0,0.0,88.89
,,,,
Booker Limited,276.0,1.0,1.0,100.0
Genpower Limited,276.0,0.0,0.0,84.62
TEDI,276.0,0.0,0.0,85.71
,,,,
Boots,277.0,1.0,1.0,100.0
Boots UK Ltd,277.0,0.0,0.0,100.0
Walgreens Boots Alliance,277.0,0.0,0.0,100.0
,,,,
Borgwarner Technologies Limited,278.0,1.0,1.0,100.0
"Cornelius Beverages Technologies
Limited",278.0,0.0,0.0,83.33
Huboo Technologies Limited,278.0,0.0,0.0,89.36
Mechan Limited,278.0,0.0,0.0,85.71
PRM Green Technologies Limited.,278.0,0.0,0.0,84.62
,,,,
Bormioli,279.0,1.0,1.0,100.0
